name,U1_index,U2_index,Bridge_atom1,Bridge_atom2,smiles,delta_E,COS2,E_0,E_10,E_20,E_30,E_40,E_50,E_60,E_70,E_80,E_90,E_100,E_110,E_120,E_130,E_140,E_150,E_160,E_170,E_180,dihes_1,dihes_2,dihes_3,dihes_4,ori_ang,new_name,new_cos2
7956,113,39,5,6,[H]c1nc2c([H])sc(-c3c(F)c([H])c([H])c4nsnc34)c2nc1[H],7.18490935,0.483232039,7.18490935,4.97609879,3.25046554,2.03938475,1.33658139,1.09813025,1.24873097,1.65660792,2.11468511,2.34058619,2.12096014,1.45580696,0.65887815,0.09412545,0,0.50827743,1.65660792,3.35714105,4.82549807,4,5,6,7,0.0046,9650,0.483283932
15980,120,138,31,32,[H]c1c2c(c([H])c3c1C(C([H])([H])[H])(C([H])([H])[H])c1c-3sc3c([H])c4c([H])c([H])sc4c([H])c13)C(C([H])([H])[H])(C([H])([H])[H])c1c-2sc2c([H])c3c([H])c(-c4sc([H])c5sc(C(=O)OC([H])([H])[H])c(F)c45)sc3c([H])c12,3.79639315,0.804672017,1.14205546,1.02910492,0.84712905,0.82830396,1.04793001,1.49345714,2.10841008,2.77983829,3.41989135,3.79639315,3.63324237,2.93043901,1.97035942,1.04793001,0.35767671,0.00627503,0,0.21962605,0.36395174,30,31,32,33,0.0046,21072,0.804700004
5838,133,27,1,2,[H]c1c(-c2sc3c(c2[H])c(=O)n(C([H])([H])[H])c(=O)c2nc([H])sc23)sc([H])c1-c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],3.28184069,0.830061086,0.01255006,0,0.01882509,0.16315078,0.49572737,1.03537995,1.72563325,2.45353673,3.03711452,3.28184069,3.08731476,2.55393721,1.90133409,1.31148127,0.8785042,0.67142821,0.67142821,0.77810372,0.84085402,0,1,2,3,0.0046,7119,0.830043177
14745,150,100,10,11,[H]C([H])([H])Oc1nc2c([H])c(F)c(F)c(-c3c(F)c(F)c([H])c(F)c3F)c2nc1C([H])([H])[H],30.02601855,0.251454741,17.05553154,23.30546142,30.02601855,3.73991788,1.44953193,0.24472617,0.00627503,0.38905186,0.91615438,1.16715558,0.92242941,0.3765018,0,0.2510012,1.44953193,3.79011812,7.45473564,12.58771018,19.25806707,8,10,11,12,0.0046,19037,0.251454879
9384,160,49,10,11,[H]c1c([H])c([H])c2c(c1[H])/C(=C1\c3sc(-c4c([H])c([H])c5c(c4[H])[Ge](C([H])([H])[H])(C([H])([H])[H])c4c([H])c([H])c([H])c([H])c4-5)c([H])c3-c3c([H])c([H])c([H])c([H])c31)c1sc([H])c([H])c1-2,3.60814225,0.813747235,0.33885162,0.28865138,0.1882509,0.23217611,0.52710252,1.11068031,1.89505906,2.72963805,3.38224117,3.60814225,3.31321584,2.60413745,1.73818331,0.92242941,0.32002653,0.01255006,0,0.16315078,0.29492641,9,10,11,12,0.0046,11516,0.813755092
7273,35,119,6,7,[H]c1c([H])c([H])c2c([H])nc(-c3sc4c5sc([H])c([H])c5c5nsnc5c4c3[H])c([H])c2c1[H],7.17863432,0.953206679,0,0.14432569,0.58985282,1.3177563,2.29038595,3.43244141,4.65607226,5.81695281,6.72683216,7.17863432,7.05940875,6.41935569,5.44045101,4.33604573,3.27556566,2.40333649,1.78210852,1.43070684,1.3177563,5,6,7,8,0.0047,8767,0.953189294
4940,22,125,14,15,[H]c1nc([H])c([H])c2c1/C(=C1\C(=O)N(C([H])([H])[H])c3c([H])c(N4C(=O)c5c([H])c([H])c6c7c([H])c([H])c8c9c(c([H])c([H])c(c%10c([H])c([H])c(c5c6%10)C4=O)c97)C(=O)N([H])C8=O)nc([H])c31)C(=O)N2C([H])([H])[H],10.18437369,0.116969368,8.67209146,10.18437369,5.12669951,3.41989135,2.0080096,1.01655486,0.43297707,0.14432569,0.03765018,0,0.01255006,0.10667551,0.36395174,0.95380456,2.01428463,3.60814225,5.647527,7.7182869,9.46902027,13,14,15,16,0.0048,0,0.116971006
9889,54,53,5,6,[H]c1c(-c2c3sc(-c4sc5c(C([H])([H])[H])c6c([H])c([H])sc6c(C([H])([H])[H])c5c4[H])c([H])c3c(-c3sc(C([H])([H])[H])c([H])c3[H])c3sc([H])c([H])c23)sc(C([H])([H])[H])c1[H],4.2042701,0.875275618,1.48718211,1.43070684,1.29265618,1.24245594,1.41815678,1.84485882,2.49746194,3.25674057,3.91561872,4.2042701,3.96581896,3.31949087,2.47863685,1.63778283,0.92242941,0.40160192,0.11922557,0.01255006,0,4,5,6,7,0.0048,12223,0.875300317
12764,106,80,10,11,[H]c1c([H])c2c(c([H])c1[H])C(=O)c1c([H])c(N=N[H])c([H])c([H])c1-2,6.38798054,0.932999944,0,0.08157539,0.34512665,0.84085402,1.61895774,2.66061272,3.86541848,5.04512412,5.9612785,6.38798054,6.18090455,5.38397574,4.2042701,2.93671404,1.82603373,0.99145474,0.47062725,0.20707599,0.13177563,9,10,11,12,0.0048,16138,0.932996618
16697,141,134,12,13,[H]c1c(F)c(C([H])([H])[H])c(F)c([H])c1-c1c2sc(-c3sc4c([H])c5c6c([H])c7sc([H])c([H])c7c([H])c6n(C([H])([H])[H])c5c([H])c4c3[H])c([H])c2c(-c2c([H])c(F)c(C([H])([H])[H])c(F)c2[H])c2sc([H])c([H])c12,4.21682016,0.873547306,1.58130756,1.5060072,1.36795654,1.33030636,1.52483229,1.97663445,2.64178763,3.3885162,3.97209399,4.21682016,3.93444381,3.25674057,2.39706146,1.55620744,0.84712905,0.35767671,0.09412545,0.00627503,0,11,12,13,14,0.0048,22274,0.8735748
17137,146,164,6,7,[H]c1c([H])c(-c2c3sc(-c4sc([H])c5c4C(=O)c4c(C([H])([H])[H])sc(C([H])([H])[H])c4C5=O)c([H])c3c(-c3c([H])c([H])c(SC([H])([H])[H])c([H])c3[H])c3sc([H])c([H])c23)c([H])c([H])c1SC([H])([H])[H],2.59786242,0.739624956,0.70280336,0.47062725,0.1255006,0,0.21335102,0.74045354,1.48718211,2.20881056,2.59786242,2.55393721,2.24646074,1.86995894,1.55620744,1.34285642,1.17343061,1.04793001,1.04793001,1.13578043,1.16715558,5,6,7,8,0.0048,23302,0.739589971
268,34,1,11,12,[H]C1=C([H])C([H])([H])C2=C1C(C([H])([H])[H])(C([H])([H])[H])C1=C2C([H])([H])C(c2c([H])nc([H])c([H])c2[H])=C1[H],5.17689975,0.909592772,0.13177563,0.15687575,0.29492641,0.627503,1.22363085,2.06448487,3.06221464,4.05994441,4.84432316,5.17689975,4.88197334,4.08504453,3.08103973,2.08958499,1.24873097,0.627503,0.24472617,0.05647527,0,18,11,12,13,0.0049,0,0.909593901
12035,73,73,6,7,[H]c1c([H])sc2c3sc(-c4sc5c6sc([H])c([H])c6c6c([H])sc([H])c6c5c4[H])c([H])c3c3c([H])sc([H])c3c12,3.68344261,0.843350185,1.36168151,1.27383109,1.11695534,1.05420504,1.1922557,1.58758259,2.18371044,2.88023877,3.46381656,3.68344261,3.3885162,2.72963805,1.93898427,1.18598067,0.58985282,0.20080096,0.03137515,0,0.00627503,5,6,7,8,0.0049,15129,0.84337757
