smiles,index,HOMO,LUMO
CN1C(C2=C(C3=C(C4=C(C5=C(C6=C(C7=C(C8=C(C9=C(C(N(C8=O)C)=O)C=C([Fr])S9)S7)S6)C(N(C5=O)C)=O)S4)S3)C1=O)SC([Cs])=C2)=O,184,-5.713305544,-3.08305162
[Cs]c1c(F)c(N(C(/C2=C3C(Oc4c/3cc(OC(/C5=C6C(N(c7c/6ccc([Fr])c7F)C)=O)=O)c5c4)=O)=O)C)c2cc1,185,-5.939704392,-3.592449028
COC(/C(N=C/1OC)=C/[Cs])=NC1=C/[Fr],186,-5.787320552,-1.635949368
O=C1C(C2=C3C4=C(C=C([Cs])S4)C=CN31)=C([Fr])N(C2=O)C,187,-5.004992802,-2.350520732
C[Si]1(C)C2=CC([Cs])=CC=C2C3=CC=C([Fr])C=C13,188,-5.775891764,-0.921650118
[Cs]C1=C2N=S=NC2=C([Fr])C3=N[Se]N=C13,189,-6.023515504,-3.607959526
CN1C(/C(C2=C1C=C([Cs])C=C2)=C3C(N(C4=C/3SC([Fr])=C4)C)=O)=O,190,-5.284998108,-2.57011673
O=C1N(C)C2=C(SC([Fr])=N2)/C1=C3C4=C(N=C([Cs])S4)N(C)C/3=O,191,-5.390034112,-2.88849011
[Cs]C1=CC(S2)=C(S1)C(SC([Fr])=C3)=C3C2=O,192,-5.94433033,-1.998133102
[Cs]C1=CC(C=CC2=C3C=CC4=C2SC([Fr])=C4)=C3S1,193,-5.664869252,-1.166280604
CN1C(C2=C(C3=C(C4=C(C5=C(C6=C(C7=C(C8=C(C9=C(C%10=C(C%11=C(C%12=C(C(N(C%11=O)C)=O)C=C([Cs])S%12)S%10)S9)C(N(C8=O)C)=O)S7)S6)C(N(C5=O)C)=O)S4)S3)C1=O)SC([Fr])=C2)=O,194,-5.644460702,-3.229721066
[Cs]C1C=CC([Fr])=C(O)C=1,195,-5.958752372,0.034558478
O=c(c([Cs])c1c2c3ccc(O)c2)n4c5c1n3c(=O)c([Fr])c5c6c4ccc(O)c6,196,-5.49180407,-2.850938026
O=C(N(C1=C/2C=CC([Fr])=C1F)C)C2=C3C4=C(N(C/3=O)C)C=C([Cs])C=C4,197,-5.600921771,-2.871890802
Fc(c1[Fr])c(F)c([Cs])c2c1non2,198,-7.1952375,-2.704540712
O=C1C(C2=C3C4=C(C=CN31)C=C([Se]4)[Cs])=C(N(C)C2=O)[Fr],199,-4.641175811,-2.441134393
[Fr]c1sc([Cs])c2nc(c3ccccc3)c(c4ccccc4)nc12,200,-5.950588218,-2.200313532
Cn(c(=O)c(cc([Fr])s1)c1c2c3c(F)c([Cs])s2)c3=O,201,-6.280662459,-2.361677114
Cc1c(F)cc(c(c(cc([Cs])s2)c2c3c4sc(C)c(F)c4)c5c3cc([Fr])s5)s1,202,-5.352481719,-1.578261005
FC(F)(c1cc([Fr])c(C(F)(F)F)cc1[Cs])F,203,-7.724771279,-1.420162791
CN1C(/C(c2c1nc([Fr])cc2)=C3C(N(c4c/3ccc([Cs])c4F)C)=O)=O,204,-5.88555298,-2.938286609
CN1C(/C(c2c1cc([Cs])cc2)=C3C(N(c4c/3cc(Cl)c([Fr])c4)C)=O)=O,205,-5.717114434,-2.850938026
Oc1ccc(C2=NC3C([Fr])=CC=C([Cs])C3N=C2c4ccc(O)cc4)cc1,206,-5.637657156,-1.731733282
[Fr]C1=CC=C([Cs])C(N=C2c3ccc(OC)cc3)C1N=C2c4ccc(OC)cc4,207,-5.582418021,-1.669963412
Cn(n1)nc2c1c([Fr])c(OC)c(OC)c2[Cs],208,-5.836028238,-1.012536069
[Fr]c1c2nc(c(cccc3)c3c4c5cccc4)c5nc2c([Cs])s1,209,-5.749495996,-2.488754337
N#Cc1cc([Fr])c(C#N)cc1[Cs],210,-7.738104863,-2.537462737
CC1(COc2c(OC1)c([Cs])sc2[Fr])C,211,-5.829498222,-0.027755628
COc1c(OC)c([Fr])sc1[Cs],212,-5.54024104,0.232113242
COc(c1[Fr])c(F)c([Cs])c2c1nsn2,213,-6.428965364,-2.20548397
COc(c([Cs])s1)c2c1c(OC)c([Fr])s2,214,-5.333978628,-0.45034867
COC1(COc2c(OC1)c([Cs])sc2[Fr])OC,215,-5.917663158,-0.148846358
COc(c1[Fr])c(OC)c([Cs])c2c1nsn2,216,-6.116034264,-1.841667552
COc1nc([Fr])sc1[Cs],217,-5.892084442,-0.692258016
O=C1C([Cs])=c(cc2O3)c(O1)cc2=C([Fr])C3=O,218,-6.87768135,-3.738302132
